Site,ID,standard.length,relative.otolith.area,relative.otolith.length,relative.otolith.width,relative.otolith.perimeter,Aspect ratio,Rectangularity,Roundness,Form factor,Ellipticity,Circularity,Altitude,Average river gradient,Latitude,Annual average temperature
CWLZ,170513134,146.79,2.094470098,1.844408348,1.519261967,5.393874218,1.214016008,0.747453912,0.783917076,0.904653773,0.096664165,13.89080661,1700,12.1571,28,11.9
CWLZ,170513136,146.83,2.005545853,1.817498036,1.467175302,5.457220769,1.238773604,0.752101817,0.773027269,0.846251425,0.106653752,14.84945282,1700,12.1571,28,11.9
CWLZ,170513137,129.5,2.112288639,1.857522634,1.495443714,5.391778946,1.242121396,0.760412202,0.779462369,0.91305927,0.107987639,13.76292977,1700,12.1571,28,11.9
CWLZ,170513139,114.59,2.3310024,2.062434998,1.511101049,5.700902501,1.364855778,0.747943761,0.697737878,0.901291671,0.154282465,13.94262371,1700,12.1571,28,11.9
CWLZ,170513140,122.01,2.101988131,1.746837915,1.476008558,5.355989481,1.18348766,0.815246183,0.877071822,0.920790209,0.08403421,13.64737645,1700,12.1571,28,11.9
LKZ,20170517024,144.94,1.200072522,1.461052196,1.068227824,4.143777321,1.367734638,0.768914188,0.715790859,0.8782629,0.155310748,14.30821069,800,2.0667,25,20.2
LKZ,20170517025,132.25,1.405026597,1.517111098,1.16539844,4.458722117,1.30179606,0.794680814,0.777248502,0.88812398,0.131113293,14.14934277,800,2.0667,25,20.2
LKZ,20170517027,125.1,1.349579765,1.520898794,1.173104156,4.35320294,1.296473792,0.756417676,0.742861833,0.894933148,0.129099576,14.0416864,800,2.0667,25,20.2
LKZ,20170517028,132.17,1.283005438,1.586418434,1.111575095,4.338915908,1.427180621,0.727565239,0.649087313,0.856398494,0.175998695,14.67350854,800,2.0667,25,20.2
LKZ,20170517029,126.54,1.329379052,1.661693371,1.107972468,4.650243854,1.499760526,0.722052831,0.612995343,0.772515568,0.199923361,16.26681861,800,2.0667,25,20.2
LKZ,20170517030,123.35,1.274598693,1.493790439,1.10141073,4.286882533,1.35625194,0.774701667,0.72728434,0.871565772,0.151194333,14.41815526,800,2.0667,25,20.2
LKZ,20170517031,115.73,1.573170767,1.617747221,1.265680836,4.631238744,1.278163637,0.768317988,0.765358062,0.92170383,0.122099937,13.63384876,800,2.0667,25,20.2
LKZ,20170517032,105.76,1.531731785,1.688913939,1.170172897,4.704508783,1.443302903,0.775041878,0.683719243,0.869689088,0.181435917,14.44926788,800,2.0667,25,20.2
LKZ,20170517033,103.34,1.231348894,1.367163232,1.160460628,4.123208331,1.178121169,0.776122626,0.838784706,0.910165629,0.081777438,13.80668552,800,2.0667,25,20.2
LKZ,20170517034,198.51,1.633412234,1.584075579,1.36151595,4.736537508,1.163464577,0.757350946,0.828808364,0.914921233,0.075556854,13.73492074,800,2.0667,25,20.2
LKZ,20170517035,215.63,1.710855918,1.647130956,1.367409952,4.911053271,1.20456265,0.759602824,0.802910794,0.891402834,0.092790582,14.09729713,800,2.0667,25,20.2
LKZ,20170517036,212.95,1.151691109,1.413047296,1.075460061,4.053022521,1.313900299,0.757853096,0.734400115,0.881024213,0.135658524,14.26336578,800,2.0667,25,20.2
LKZ,20170517037,172.98,1.492962102,1.635276503,1.22466668,4.587788702,1.335282922,0.745486332,0.710847613,0.891357314,0.14357272,14.09801705,800,2.0667,25,20.2
LKZ,20170517038,170.35,1.377011874,1.509378962,1.176077632,4.374020642,1.28340079,0.775717167,0.769575475,0.904452769,0.124113468,13.89389368,800,2.0667,25,20.2
LKZ,20170517039,150.25,1.625164974,1.660352229,1.286679562,4.767535287,1.290416261,0.760723481,0.750597499,0.898502905,0.12679628,13.98589871,800,2.0667,25,20.2
LKZ,20170517040,111.29,1.369678114,1.576322625,1.116400572,4.406170752,1.411968665,0.778311338,0.701840486,0.886555102,0.170801831,14.17438192,800,2.0667,25,20.2
LKZ,20170517041,115.99,1.412888045,1.488986961,1.241210692,4.50175859,1.199624665,0.764489188,0.811402011,0.876099052,0.090753967,14.34355006,800,2.0667,25,20.2
LKZ,20170517042,111.05,1.351283775,1.480162893,1.154462248,4.366664238,1.282123253,0.790782981,0.785303722,0.890546964,0.123623145,14.11084549,800,2.0667,25,20.2
LKZ,20170517043,104.92,1.503785103,1.528942574,1.271760439,4.507115933,1.202225299,0.773373512,0.819055911,0.930246798,0.091827707,13.50864162,800,2.0667,25,20.2
LKZ,20170517044,117.76,1.415023565,1.617981061,1.150539255,4.508016219,1.406280624,0.760131618,0.68821942,0.874989007,0.168841747,14.36174685,800,2.0667,25,20.2
LKZ,20170517045,105.81,1.59186997,1.603237512,1.273859818,4.697909434,1.258566672,0.779449684,0.78853682,0.906375533,0.114482639,13.8644195,800,2.0667,25,20.2
LKZ,20170517046,100.66,1.547435547,1.664114629,1.257573101,4.65858435,1.323274669,0.739428339,0.711469375,0.896013403,0.139146126,14.0247574,800,2.0667,25,20.2
LKZ,20170517047,102.73,1.535722529,1.632423572,1.169361699,4.603584055,1.395995416,0.804509234,0.733765282,0.910605911,0.165273862,13.80000993,800,2.0667,25,20.2
LKZ,20170517048,105.81,1.559872204,1.651618472,1.222909498,4.859861548,1.350564759,0.772298106,0.728080962,0.829948395,0.149140651,15.14114695,800,2.0667,25,20.2
LKZ,20170517049,105.1,1.428406448,1.557754487,1.168144617,4.484231701,1.333528798,0.784975639,0.749486645,0.892658977,0.14292894,14.07745952,800,2.0667,25,20.2
LKZ,20170517050,112.02,1.346460785,1.564236818,1.178083743,4.381612736,1.327780667,0.730659512,0.70064628,0.881323992,0.140812522,14.25851416,800,2.0667,25,20.2
LKZ,20170517051,114.48,1.649858545,1.746317405,1.289775172,4.825383897,1.3539704,0.732503182,0.688827479,0.89041575,0.150371644,14.11292491,800,2.0667,25,20.2
LKZ,20170517052,110.44,1.416499008,1.512972506,1.185723996,4.45136863,1.275990459,0.789589982,0.787887701,0.898336441,0.121261694,13.98849033,800,2.0667,25,20.2
LKZ,20170517053,103.54,1.384453963,1.461563164,1.248546438,4.524900249,1.170611777,0.758675798,0.825189056,0.849709284,0.078600779,14.78902355,800,2.0667,25,20.2
LKZ,20170517054,182.23,1.590525923,1.561555996,1.26588403,4.642193725,1.233569552,0.804617119,0.83049256,0.927479022,0.104572321,13.54895401,800,2.0667,25,20.2
LKZ,20170517055,131.29,1.027518242,1.342653227,0.996811414,3.919252685,1.346948087,0.767737366,0.725724758,0.840606755,0.147829468,14.94916682,800,2.0667,25,20.2
LKZ,20170517056,129.36,1.487470844,1.592741096,1.235438505,4.634420347,1.28921115,0.755930978,0.746566002,0.87029699,0.126336599,14.43917509,800,2.0667,25,20.2
